experiment,subject,condition,social_type,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp2_LLM,s021,bot,nonsocial,388.2,3.0,0.1,0.2,0.008597870138903778,0.008509398217523136,4.0,4.0
Exp2_LLM,s021,bot,social,300.6,1.3,0.1,0.2,0.006979125652951737,0.01685837439153277,3.9,3.9
Exp2_LLM,s021,hum,nonsocial,224.6,2.3,0.5,0.1,0.012773222935546707,0.02245256501767447,3.8,3.8
Exp2_LLM,s021,hum,social,311.5,2.4,0.8,0.6,0.00780482891689053,0.016116098732914197,3.7,3.7
Exp2_LLM,s022,bot,nonsocial,366.6,2.7,0.1,0.2,0.007578677270583674,0.005962185486525219,4.0,3.9
Exp2_LLM,s022,bot,social,301.5,0.7,0.3,0.1,0.006338328280043715,0.010877479628639738,3.9,3.9
Exp2_LLM,s022,hum,nonsocial,248.7,2.1,0.2,0.3,0.012730461577374359,0.023546514721126652,3.9,3.9
Exp2_LLM,s022,hum,social,294.5,1.8,0.6,0.5,0.00880817630593555,0.020283426705029292,3.9,3.9
Exp2_LLM,s023,bot,nonsocial,300.2,2.3,0.7,0.4,0.011684283506147178,0.014163301283236163,3.8,3.8
Exp2_LLM,s023,bot,social,271.7,1.8,0.1,0.3,0.005703527005288656,0.018167197651537785,3.8,3.8
Exp2_LLM,s023,hum,nonsocial,271.5,2.6,0.0,0.5,0.012682669229367532,0.0149724171288835,4.0,4.0
Exp2_LLM,s023,hum,social,262.9,1.7,0.5,0.8,0.010019444667611248,0.022472383579476497,4.0,4.0
Exp2_LLM,s024,bot,nonsocial,297.9,1.9,0.4,0.0,0.007753739439713793,0.01983861904493793,3.9,3.9
Exp2_LLM,s024,bot,social,269.9,1.5,0.5,0.2,0.00630579620250678,0.023185040895326768,3.7,3.7
Exp2_LLM,s024,hum,nonsocial,282.7,2.6,0.8,0.5,0.012517016981677193,0.023815392476286213,3.7,3.9
Exp2_LLM,s024,hum,social,283.2,1.6,0.4,0.2,0.006177074396719218,0.019103612495756855,3.8,3.8
Exp2_LLM,s025,bot,nonsocial,324.7,2.3,0.0,0.3,0.008188655493171625,0.012978569593081099,4.0,4.0
Exp2_LLM,s025,bot,social,315.3,0.8,0.2,0.2,0.00796781283620888,0.012719633468699268,3.8,3.9
Exp2_LLM,s025,hum,nonsocial,228.3,2.2,0.1,0.4,0.013792032803224136,0.018653705472742484,3.9,3.9
Exp2_LLM,s025,hum,social,248.2,1.9,0.6,0.6,0.009870163905475512,0.02591140187049884,4.0,4.0
Exp2_LLM,s026,bot,nonsocial,275.1,2.3,0.1,0.2,0.010204844410216915,0.015124013003239553,4.0,4.0
Exp2_LLM,s026,bot,social,319.4,1.6,0.1,0.7,0.007743850946878077,0.012484777351655981,4.0,4.0
Exp2_LLM,s026,hum,nonsocial,312.0,2.4,0.2,0.4,0.009112897323399127,0.01385350573313714,3.9,3.9
Exp2_LLM,s026,hum,social,279.6,2.1,0.3,0.3,0.01038244087232228,0.01839600977674356,4.0,3.9
Exp2_LLM,s027,bot,nonsocial,258.1,2.4,0.6,0.4,0.014093162982747185,0.02642062574543076,3.9,3.9
Exp2_LLM,s027,bot,social,328.0,0.9,0.0,0.2,0.009751714133354229,0.01176920383343711,3.8,3.8
Exp2_LLM,s027,hum,nonsocial,278.0,2.1,0.9,0.6,0.009650124718839803,0.016404148209239792,3.8,3.9
Exp2_LLM,s027,hum,social,261.3,1.8,0.5,0.4,0.005959447834415282,0.019225087369767906,3.9,3.8
Exp2_LLM,s028,bot,nonsocial,297.1,1.8,0.6,0.0,0.008804083206270772,0.014055300463009634,4.0,4.0
Exp2_LLM,s028,bot,social,313.2,1.9,0.4,0.3,0.005948069650448591,0.013167398956351406,3.8,3.8
Exp2_LLM,s028,hum,nonsocial,272.2,3.4,0.5,0.5,0.016553284383721157,0.017575928607461384,3.9,4.0
Exp2_LLM,s028,hum,social,247.5,2.0,0.5,0.3,0.007537163345112133,0.024010349460123745,3.9,3.9
Exp2_LLM,s029,bot,nonsocial,311.8,2.1,0.2,0.2,0.005983032743841493,0.011048692793594037,3.8,3.8
Exp2_LLM,s029,bot,social,296.4,2.0,0.7,0.2,0.007144599859295596,0.01895445515171084,3.9,3.9
Exp2_LLM,s029,hum,nonsocial,247.3,3.0,0.4,0.4,0.012417347355260169,0.018604707397990423,3.8,4.0
Exp2_LLM,s029,hum,social,237.6,2.0,0.5,0.5,0.011554639016398473,0.019170595255956373,3.7,3.8
Exp2_LLM,s030,bot,nonsocial,287.9,3.3,0.1,0.2,0.010660512876734729,0.008536804435491884,3.9,3.8
Exp2_LLM,s030,bot,social,317.8,2.1,0.2,0.1,0.012308414931884639,0.017887065717021124,3.8,3.8
Exp2_LLM,s030,hum,nonsocial,255.6,2.6,0.1,0.5,0.009442269460838126,0.017060499163578637,3.9,3.9
Exp2_LLM,s030,hum,social,275.8,2.8,0.8,1.1,0.008892354664770978,0.020512627330466996,4.0,4.0
Exp2_LLM,s031,bot,nonsocial,315.5,3.3,0.3,0.3,0.013510510684893187,0.01268170165899161,3.8,3.9
Exp2_LLM,s031,bot,social,311.5,1.7,0.3,0.2,0.006332295244030339,0.016169555833641856,3.9,3.9
Exp2_LLM,s031,hum,nonsocial,253.9,2.9,0.3,0.2,0.008579546198102105,0.02229060643324077,4.0,4.0
Exp2_LLM,s031,hum,social,290.0,2.1,0.7,0.3,0.011077230373977629,0.01821410493276237,3.8,3.8
Exp2_LLM,s032,bot,nonsocial,287.8,1.9,0.2,0.2,0.008813279976800443,0.019129378147266486,3.8,3.8
Exp2_LLM,s032,bot,social,303.3,1.3,0.2,0.3,0.007692048334624174,0.015404674882762601,4.0,3.9
Exp2_LLM,s032,hum,nonsocial,228.8,2.4,0.1,0.5,0.008432332202401478,0.02204152334607467,3.9,3.9
Exp2_LLM,s032,hum,social,280.6,2.3,0.7,0.4,0.01024656860082446,0.024091029449781757,3.8,3.8
Exp2_LLM,s033,bot,nonsocial,321.4,2.8,0.5,0.3,0.009853253005134264,0.010920848627694402,3.8,3.7
Exp2_LLM,s033,bot,social,337.3,0.9,0.1,0.3,0.009786677065887758,0.012569763192095356,3.9,3.9
Exp2_LLM,s033,hum,nonsocial,212.3,2.5,0.5,0.5,0.012221502718525894,0.030187687287743292,3.6,3.7
Exp2_LLM,s033,hum,social,278.9,2.5,0.6,0.8,0.009895464797072314,0.021226338468690376,3.8,3.8
Exp2_LLM,s034,bot,nonsocial,347.0,3.5,0.4,0.1,0.012641218842385487,0.010325243400414855,3.9,4.0
Exp2_LLM,s034,bot,social,311.9,1.4,0.0,0.3,0.008003342285556141,0.009470711508116365,3.9,3.9
