dimension,prompt_idx,human_mean,ai_mean,diff,t,p
14_biological,29,0.18862039,0.16060959,0.0280108,4.000398605214379,6.553949478596209e-05
14_biological,30,0.19106546,0.1628415,0.028223962,4.057168487105303,5.1581507042857475e-05
14_biological,31,0.18796778,0.15973645,0.028231323,4.030802427592537,5.767153300144045e-05
14_biological,32,0.19238858,0.16458029,0.027808294,4.009943356708569,6.296612161626376e-05
14_biological,33,0.19185929,0.16351976,0.028339535,4.034531714309852,5.677055794445492e-05
14_biological,34,0.18249789,0.15456283,0.027935058,4.013894807976233,6.19290357103217e-05
14_biological,35,0.19247329,0.16452079,0.027952507,4.012205035647519,6.237053197595505e-05
14_biological,36,0.18714993,0.16044821,0.026701719,4.00553769300573,6.41418113159955e-05
14_biological,37,0.18208264,0.15422922,0.027853414,4.018090677501911,6.084552666486403e-05
14_biological,38,0.18970759,0.16165985,0.02804774,4.013195895607638,6.211128418183605e-05
14_biological,39,0.19547988,0.1669979,0.02848199,4.083469806559525,4.6117524613659737e-05
15_shapes,0,0.18992053,0.16120176,0.02871877,4.011344346380775,6.259655369595937e-05
15_shapes,1,0.19214115,0.16371264,0.02842851,4.026276191262463,5.8783256604210905e-05
15_shapes,2,0.18900518,0.16070387,0.028301314,3.998665389620738,6.601734928279613e-05
15_shapes,3,0.2026092,0.17350267,0.029106528,4.06839953477751,4.917714441743111e-05
15_shapes,4,0.19573864,0.16659275,0.029145896,4.055314557178773,5.198896708080862e-05
15_shapes,5,0.18824022,0.15969464,0.028545573,4.009905039642287,6.297625828021383e-05
15_shapes,6,0.1925916,0.16393653,0.028655067,4.042185854783891,5.496298420358644e-05
15_shapes,7,0.1942168,0.1652909,0.028925896,4.062329016142048,5.046320588018199e-05
15_shapes,8,0.18945675,0.16137658,0.028080165,3.984684880721106,6.999429617286234e-05
15_shapes,9,0.18853964,0.16021734,0.028322294,3.994279338606487,6.724138488620232e-05
15_shapes,10,0.19085214,0.16234078,0.02851136,4.033721182845501,5.6965235676380335e-05
15_shapes,11,0.19621138,0.16794126,0.028270125,4.048231627664107,5.357394951583655e-05
15_shapes,12,0.18813336,0.16042358,0.027709782,3.998956683209915,6.593680845450848e-05
15_shapes,13,0.18932939,0.1610654,0.028263986,4.016126833075778,6.135039929778682e-05
15_shapes,14,0.19296457,0.16341445,0.02955012,4.0910613761271115,4.464554558403157e-05
15_shapes,15,0.18749286,0.15945303,0.028039828,3.9747096605255727,7.296940974199539e-05
15_shapes,16,0.18550025,0.15721369,0.028286561,4.0208323730265585,6.014726214353853e-05
15_shapes,17,0.18621068,0.15783148,0.028379202,4.024983002840916,5.910459806558663e-05
15_shapes,18,0.19015329,0.16179289,0.028360397,4.047072552890674,5.3837644604807465e-05
15_shapes,19,0.18955167,0.16151673,0.02803494,3.9913463626148085,6.807186186132878e-05
15_shapes,20,0.18878137,0.1602317,0.028549671,4.035951139238582,5.643115132623843e-05
15_shapes,21,0.1928261,0.1652038,0.027622312,4.0876562160673,4.530019250656306e-05
15_shapes,22,0.19052936,0.16227454,0.028254822,4.036591885461249,5.627856986839954e-05
15_shapes,23,0.19488886,0.16654447,0.028344393,4.04440850655964,5.444840066050634e-05
15_shapes,24,0.19732988,0.1692103,0.028119579,4.107070780748232,4.168625036483467e-05
