experiment,subject,condition,topic,social_type,social,word_count,question_count,tom_count,polite_pos,polite_neg,impolite,politeness_score,nonfluency_count,liwc_filler_count,disfluency_count,like_count,fung_interpersonal_count,fung_referential_count,fung_structural_count,fung_cognitive_count,fung_total_count,demir_modal_count,demir_verb_count,demir_adverb_count,demir_adjective_count,demir_quantifier_count,demir_noun_count,demir_total_count,sentiment,sentiment_pos,sentiment_neg,sentiment_neu,quality,connectedness,tom_rate,politeness_rate,nonfluency_rate,liwc_filler_rate,disfluency_rate,like_rate,fung_interpersonal_rate,fung_referential_rate,fung_structural_rate,fung_cognitive_rate,fung_total_rate,demir_modal_rate,demir_verb_rate,demir_adverb_rate,demir_adjective_rate,demir_quantifier_rate,demir_noun_rate,demir_total_rate
LLM,s003,hum,cooking,nonsocial,0,968,20,1,4,0,0,4,8,3,11,11,42,89,80,14,126,16,1,6,0,3,3,29,0.97464,0.20859999999999998,0.011800000000000001,0.7798,3.0,3.0,0.0010330578512396695,0.004132231404958678,0.008264462809917356,0.0030991735537190084,0.011363636363636364,0.011363636363636364,0.04338842975206612,0.09194214876033058,0.08264462809917356,0.014462809917355372,0.13016528925619836,0.01652892561983471,0.0010330578512396695,0.006198347107438017,0.0,0.0030991735537190084,0.0030991735537190084,0.029958677685950414
LLM,s003,hum,cultural_celebrations,social,1,841,1,0,7,0,0,7,1,0,1,2,18,69,73,3,83,7,9,4,0,4,3,27,0.9903599999999999,0.3186,0.0014,0.6798,3.0,3.0,0.0,0.008323424494649227,0.0011890606420927466,0.0,0.0011890606420927466,0.0023781212841854932,0.02140309155766944,0.08204518430439953,0.08680142687277051,0.0035671819262782403,0.09869203329369798,0.008323424494649227,0.01070154577883472,0.0047562425683709865,0.0,0.0047562425683709865,0.0035671819262782403,0.03210463733650416
LLM,s003,hum,empathy,social,1,968,10,1,10,0,0,10,0,1,1,1,20,73,61,6,87,27,12,9,1,3,0,52,0.9841200000000001,0.2178,0.021,0.7614,3.0,3.0,0.0010330578512396695,0.010330578512396695,0.0,0.0010330578512396695,0.0010330578512396695,0.0010330578512396695,0.02066115702479339,0.07541322314049587,0.06301652892561983,0.006198347107438017,0.08987603305785125,0.027892561983471075,0.012396694214876033,0.009297520661157025,0.0010330578512396695,0.0030991735537190084,0.0,0.05371900826446281
LLM,s003,hum,food,nonsocial,0,916,24,4,0,0,0,0,0,7,7,10,48,61,47,20,109,11,8,6,0,0,0,25,0.9406800000000001,0.2378,0.0402,0.7222,3.0,3.0,0.004366812227074236,0.0,0.0,0.007641921397379912,0.007641921397379912,0.010917030567685589,0.05240174672489083,0.0665938864628821,0.05131004366812227,0.021834061135371178,0.11899563318777293,0.012008733624454149,0.008733624454148471,0.006550218340611353,0.0,0.0,0.0,0.027292576419213975
LLM,s003,hum,forgiveness,social,1,853,3,1,4,0,0,4,4,0,4,2,21,71,74,12,89,23,13,10,3,0,0,49,0.9751200000000001,0.2406,0.053200000000000004,0.7058,3.0,3.0,0.0011723329425556857,0.004689331770222743,0.004689331770222743,0.0,0.004689331770222743,0.0023446658851113715,0.0246189917936694,0.08323563892145369,0.08675263774912075,0.01406799531066823,0.10433763188745604,0.026963657678780773,0.015240328253223915,0.011723329425556858,0.0035169988276670576,0.0,0.0,0.05744431418522861
LLM,s003,hum,gardening,nonsocial,0,886,13,1,1,0,0,1,1,3,4,8,39,68,73,10,105,8,1,14,0,12,0,35,0.9853200000000001,0.25739999999999996,0.0262,0.7163999999999999,3.0,3.0,0.001128668171557562,0.001128668171557562,0.001128668171557562,0.003386004514672686,0.004514672686230248,0.009029345372460496,0.04401805869074492,0.07674943566591422,0.08239277652370203,0.011286681715575621,0.11851015801354402,0.009029345372460496,0.001128668171557562,0.01580135440180587,0.0,0.013544018058690745,0.0,0.039503386004514675
LLM,s003,hum,goals,social,1,1413,3,0,5,0,0,5,2,0,2,8,29,123,112,14,144,8,29,10,2,5,5,59,0.9961,0.29660000000000003,0.014600000000000002,0.6888,3.0,3.0,0.0,0.003538570417551309,0.0014154281670205238,0.0,0.0014154281670205238,0.005661712668082095,0.020523708421797595,0.0870488322717622,0.07926397735314933,0.009907997169143666,0.10191082802547771,0.005661712668082095,0.020523708421797595,0.007077140835102618,0.0014154281670205238,0.003538570417551309,0.003538570417551309,0.04175513092710545
LLM,s003,hum,loneliness,social,1,883,0,0,5,0,0,5,2,0,2,1,12,60,55,9,70,26,18,12,0,0,0,56,0.98052,0.263,0.0654,0.6718,3.0,3.0,0.0,0.0056625141562853904,0.0022650056625141564,0.0,0.0022650056625141564,0.0011325028312570782,0.013590033975084938,0.06795016987542468,0.0622876557191393,0.010192525481313703,0.07927519818799547,0.02944507361268403,0.020385050962627407,0.013590033975084938,0.0,0.0,0.0,0.06342015855039637
LLM,s003,hum,music,nonsocial,0,683,11,1,1,0,0,1,1,1,2,13,55,43,44,16,94,7,7,8,0,10,1,33,0.9709,0.2178,0.0252,0.7572,3.0,3.0,0.0014641288433382138,0.0014641288433382138,0.0014641288433382138,0.0014641288433382138,0.0029282576866764276,0.01903367496339678,0.08052708638360176,0.0629575402635432,0.06442166910688141,0.02342606149341142,0.1376281112737921,0.010248901903367497,0.010248901903367497,0.01171303074670571,0.0,0.014641288433382138,0.0014641288433382138,0.048316251830161056
LLM,s003,hum,photography,nonsocial,0,1129,36,22,1,0,0,1,0,24,24,61,132,105,97,84,233,4,0,12,0,14,0,30,0.99282,0.2512,0.0124,0.7365999999999999,3.0,4.0,0.01948627103631532,0.0008857395925597874,0.0,0.021257750221434897,0.021257750221434897,0.054030115146147036,0.11691762621789194,0.09300265721877768,0.08591674047829938,0.07440212577502214,0.20637732506643047,0.00354295837023915,0.0,0.010628875110717449,0.0,0.012400354295837024,0.0,0.026572187776793623
